,coef_t0,std_err0,tval0,pval0,nobs0,coef_t1,std_err1,tval1,pval1,nobs1,coef_t2,std_err2,tval2,pval2,nobs2,coef_t3,std_err3,tval3,pval3,nobs3
const,-0.007012309691917384,0.0011812421763149142,-5.936386147160336,3.1624361658566442e-09,4354.0,-0.020996516396478468,0.0015483036534003566,-13.56098098093762,5.480156253043029e-41,4354.0,-0.02827641140633793,0.0023442477230071136,-12.062040683168929,6.248184852890448e-33,4354.0,-0.030080843391209474,0.0038002885679762188,-7.915410330860357,3.1699523388259428e-15,4354.0
beta_1,-0.6214964759743948,0.019960747930773133,-31.13593128523229,1.135538511062751e-190,4354.0,-0.5761675998229112,0.022935838345093405,-25.12084324775375,2.1753681000984245e-129,4354.0,-0.5303486310235412,0.026061228296307287,-20.350101115483046,1.1606585421763584e-87,4354.0,-0.49059184149286417,0.02818858535799127,-17.40391847488667,1.9289745196426232e-65,4354.0
