Horizon,mean_revisions,std_revisions,revisions_up,revisions_downn,revisions_na,mean_errors,std_errors
0,-0.032925806451611736,0.38145856456240973,0.45409429280397023,0.5459057071960298,0.0,-0.01802069308312651,0.4157077757315926
1,-0.0660729678688514,0.5256036418252402,0.4229390681003584,0.5312930796801765,0.045767852219465124,-0.07171897131142602,0.7961440481269582
2,-0.09019545176677839,0.647600466432476,0.4185277088502895,0.5461814171491591,0.03529087400055142,-0.16170208408986125,1.0800531425642856
3,-0.11201069999370329,0.7680495699882939,0.42321477805348773,0.5519713261648745,0.02481389578163772,-0.264747780293074,1.3265557366782135
4,,,,,,-0.39215141152818256,1.5824671473213323
