,coef_t0,std_err0,tval0,pval0,nobs0,coef_t1,std_err1,tval1,pval1,nobs1,coef_t2,std_err2,tval2,pval2,nobs2,coef_t3,std_err3,tval3,pval3,nobs3
const,-0.0005567567562281391,9.755369883326103e-05,-5.707182432720965,1.2462187614147627e-08,3627.0,-0.0018999684320019756,0.00018785590788074024,-10.113966887898808,1.027295414857654e-23,3627.0,-0.0036312309948799137,0.00022479619524772105,-16.1534361864015,1.25852880031532e-56,3627.0,-0.005486093726871302,0.00026509837536289795,-20.694558083810545,9.563050389702616e-90,3627.0
beta_1,0.0014075492435180737,0.039319729059733736,0.035797531599969915,0.9714458855770233,3627.0,-0.16200709801872187,0.05161830586450929,-3.1385589919197945,0.001712230019254955,3627.0,-0.2874742978734359,0.04521371729896752,-6.358121274845954,2.312114157253109e-10,3627.0,-0.29011405075779056,0.03879167988770318,-7.478769973294084,9.477451949174822e-14,3627.0
