,coef_t0,std_err0,tval0,pval0,nobs0,coef_t1,std_err1,tval1,pval1,nobs1,coef_t2,std_err2,tval2,pval2,nobs2,coef_t3,std_err3,tval3,pval3,nobs3
const,-0.00016009044642182555,8.194372721504099e-05,-1.9536632255170414,0.05081786792687168,3627.0,-0.0007001449263506548,0.0001741272460312225,-4.02088094947021,5.9161230752285686e-05,3627.0,-0.0015541108259657195,0.00023823601796938335,-6.523408337715939,7.824520547898623e-11,3627.0,-0.0025496883990054607,0.0002877051229793568,-8.86215849270228,1.2064398360359346e-18,3627.0
beta_1,0.006101909917219258,0.03800330576383536,0.1605626088198345,0.87244685314762,3627.0,-0.135654390803354,0.050372438314572054,-2.6930280792881742,0.007113214207896172,3627.0,-0.23663944906322626,0.04580205860055693,-5.1665679730026115,2.5128765160567093e-07,3627.0,-0.21852004079234547,0.04360489550275811,-5.011364854171559,5.66289277248039e-07,3627.0
