,coef_t0,std_err0,tval0,pval0,nobs0,coef_t1,std_err1,tval1,pval1,nobs1,coef_t2,std_err2,tval2,pval2,nobs2,coef_t3,std_err3,tval3,pval3,nobs3
const,0.00012053079133333791,0.00020210263571987218,0.5963840644829673,0.5517460260060644,165.0,0.00022701337109240805,0.0006261486122725209,0.36255509737296077,0.7174069193867667,165.0,0.000149341043789902,0.0010885921647983729,0.13718732195501582,0.8910520396692672,165.0,-4.216420376132734e-05,0.0014941730485609074,-0.028219090019015687,0.9775219317772652,165.0
beta_1,0.6411480186382651,0.12918655378937605,4.962962474280287,1.7341935304821338e-06,165.0,0.6123359641278586,0.2092245221642023,2.9266930940690066,0.003915476126074525,165.0,0.6057284130851202,0.2791308774660365,2.1700516208882075,0.03145058596938501,165.0,0.6869618795016087,0.31225595687295166,2.199996074954351,0.029214229259716926,165.0
