Horizon,mean_revisions,std_revisions,revisions_up,revisions_downn,revisions_na,mean_errors,std_errors
0,-0.027884741199076316,0.25201411446887195,0.4397163120567376,0.5602836879432624,0.0,-0.016784369708101175,0.3038334672187868
1,-0.06275612083846993,0.337611561562634,0.4326241134751773,0.5673758865248227,0.0,-0.06330609275991785,0.6365552723557296
2,-0.09034951337913696,0.39574572709806966,0.40425531914893614,0.5957446808510638,0.0,-0.14806897137650155,0.8754550571047234
3,-0.11758679754370618,0.45645688177755583,0.3829787234042553,0.6170212765957447,0.0,-0.25444349517306186,1.074651842401316
4,,,,,,-0.38388202365138613,1.2816481068673946
