DATE,ID,INDUSTRY,CPI1,CPI2,CPI3,CPI4,CPI5,CPI6,f_t0,f_t1,f_t2,f_t3,f_t4,r_t0,r_t1,r_t2,r_t3,e_t0,e_t1,e_t2,e_t3,e_t4
1981-09-30,5,,7.5,9.2,8.2,7.3,7.6,8.0,0.023,0.04397149999999983,0.06302397987499986,0.08322143549262484,0.10488586420247725,,,,,0.004849981433345717,0.0005884702933534047,-0.009180682437198051,-0.014153481537927615,-0.017251255958882883
1981-09-30,19,,7.5,11.2,7.0,6.5,6.9,6.2,0.027999999999999997,0.0459900000000002,0.0629873375000003,0.08132386907187539,0.09808438904248962,,,,,-0.00015001856665428082,-0.0014300297066469625,-0.009144040062198489,-0.012255915117178162,-0.010449780798895247
1981-09-30,23,,10.8,11.0,11.1,11.3,11.4,11.6,0.0275,0.056013125,0.08584549578125,0.11679209241101551,0.14917906309093487,,,,,0.00034998143334571616,-0.011453154706646762,-0.032002198343448196,-0.04772413845631829,-0.0615444548473405
1981-09-30,30,,2.3,2.2,2.1,2.0,2.0,1.8,0.0055000000000000005,0.010778874999999966,0.015832769374999778,0.020911933221874568,0.025506036921372877,,,,,0.022349981433345715,0.03378109529335327,0.03801052806280203,0.04815602073282266,0.06212857132222149
1981-09-30,35,,9.6,11.8,9.5,7.6,7.8,8.6,0.029500000000000002,0.05395062499999992,0.07397568687499989,0.09491821276906243,0.11845895434359743,,,,,-0.0016500185666542856,-0.009390654706646684,-0.020132389437198084,-0.0258502588143652,-0.030824346100003064
1981-09-30,43,,7.5,9.1,8.7,9.3,8.3,7.5,0.02275,0.044994812499999925,0.0692909418906249,0.09147872893485531,0.11194395510238397,,,,,0.005099981433345717,-0.0004348422066466906,-0.015447644452823095,-0.022410774980158088,-0.024309346858789604
1981-09-30,62,,9.3,10.4,5.1,8.5,7.7,8.3,0.026000000000000002,0.03908149999999999,0.06116198187499999,0.0815893500260938,0.1040323290391354,,,,,0.001849981433345714,0.005478470293353244,-0.007318684437198186,-0.012521396071396573,-0.016397720795541026
1981-09-30,66,,8.0,9.5,8.0,8.0,7.4,8.4,0.02375,0.04422499999999996,0.06510949999999993,0.08481402574999986,0.10759512029074969,,,,,0.004099981433345716,0.0003349702933532761,-0.011266202562198124,-0.01574607179530263,-0.01996051204715532
1981-09-30,68,,7.5,9.2,8.6,8.1,8.1,7.5,0.023,0.04499450000000005,0.06615563862500018,0.0877452903071565,0.10814051450041573,,,,,0.004849981433345717,-0.00043452970664681345,-0.012312341187198372,-0.018677336352459273,-0.02050590625682136
1981-09-30,70,,7.4,8.5,8.0,8.0,7.2,7.0,0.02125,0.04167499999999991,0.06250849999999986,0.08163365299999992,0.10056224192750007,,,,,0.006599981433345715,0.0028849702933533283,-0.008665202562198049,-0.012565699045302692,-0.012927633683905704
1981-09-30,72,,7.6,8.0,8.0,8.0,8.0,8.0,0.02,0.04039999999999999,0.06120799999999993,0.08243215999999998,0.10408080320000002,,,,,0.007849981433345716,0.004159970293353243,-0.007364702562198122,-0.013364206045302751,-0.016446194956405646
1981-09-30,75,,7.5,9.6,8.4,8.0,7.5,7.0,0.024,0.04550399999999999,0.06641407999999993,0.086409344,0.10542150752000001,,,,,0.003849981433345716,-0.000944029706646754,-0.012570782562198124,-0.017341390045302774,-0.017786899276405643
1981-09-30,79,,6.8,10.7,8.9,7.7,7.8,7.9,0.02675,0.04959518750000025,0.06979989485937521,0.09066099280913309,0.11220154741711341,,,,,0.0010999814333457168,-0.0050352172066470136,-0.015956597421573404,-0.021593038854435864,-0.024566939173519042
1981-09-30,82,,9.6,10.8,8.1,7.9,7.5,7.5,0.027000000000000003,0.047796750000000054,0.06849073581249998,0.08852493710898446,0.10893477967977794,,,,,0.0008499814333457131,-0.0032367797066468196,-0.014647438374698174,-0.019456983154287233,-0.021300171436183568
1981-09-30,84,,7.9,7.0,7.5,7.5,7.0,8.0,0.0175,0.03657812500000013,0.0560139648437501,0.0744942092285159,0.09598409341308622,,,,,0.010349981433345715,0.007981845293353107,-0.00217066740594829,-0.005426255273818681,-0.008349485169491855
1981-09-30,87,,9.7,10.0,8.5,8.5,8.0,8.0,0.025,0.046781249999999996,0.06902535156249989,0.09040585859374994,0.11221397576562486,,,,,0.002849981433345715,-0.0022212797066467616,-0.015182054124698086,-0.02133790463905272,-0.024579367522030493
1981-12-31,5,,11.9,10.5,6.5,7.0,8.0,8.2,0.02625,0.042926562500000154,0.061177777343750295,0.08240133289062523,0.10459056021488311,0.005750000000000036,0.0038024375000003108,0.0023102939687502655,0.0023564998481253596,-0.009992774566473964,-0.017637545158959655,-0.021076621274386254,-0.024236593006232265,-0.04317437524378476
1981-12-31,19,,11.9,9.8,7.1,6.5,7.3,7.2,0.0245,0.042684874999999955,0.0596285042187501,0.07896672442074237,0.09838812546031583,0.00699999999999993,0.008650499999999672,0.0077570362499996826,0.010791248698476252,-0.008242774566473966,-0.017395857658959457,-0.01952734814938606,-0.020801984536349405,-0.03697194048921748
1981-12-31,20,,11.0,11.3,11.4,11.6,11.7,11.8,0.02825,0.05755512500000015,0.08822422362500015,0.12005478216603138,0.15309639823992938,,,,,-0.011992774566473966,-0.03226610765895965,-0.04812306755563611,-0.06189004228163841,-0.09168021326883102
1981-12-31,23,,11.6,10.0,9.5,9.0,8.5,8.0,0.025,0.0493437499999998,0.07295398437499978,0.09575425654296854,0.11766934167382792,-0.00274999999999994,-0.007440187500000084,-0.013948295343749972,-0.022668189287624818,-0.008742774566473967,-0.0240547326589593,-0.03285282830563574,-0.03758951665857557,-0.05625315670272957
