DATE,ID,CPI1,CPI2,CPI3,CPI4,CPI5,CPI6,rec,f_t0,f_t1,f_t2,f_t3,f_t4,r_t0,r_t1,r_t2,r_t3,e_t0,e_t1,e_t2,e_t3,e_t4
1981-09-30,5,7.5,9.2,8.2,7.3,7.6,8.0,0,0.023,0.0439714999999998,0.0630239798749998,0.0832214354926248,0.1048858642024772,,,,,0.0048499814333457,0.0005884702933534,-0.009180682437198,-0.0141534815379276,-0.0172512559588828
1981-09-30,19,7.5,11.2,7.0,6.5,6.9,6.2,0,0.0279999999999999,0.0459900000000002,0.0629873375000003,0.0813238690718753,0.0980843890424896,,,,,-0.0001500185666542,-0.0014300297066469,-0.0091440400621984,-0.0122559151171781,-0.0104497807988952
1981-09-30,35,9.6,11.8,9.5,7.6,7.8,8.6,0,0.0295,0.0539506249999999,0.0739756868749998,0.0949182127690624,0.1184589543435974,,,,,-0.0016500185666542,-0.0093906547066466,-0.020132389437198,-0.0258502588143652,-0.030824346100003
1981-09-30,43,7.5,9.1,8.7,9.3,8.3,7.5,0,0.02275,0.0449948124999999,0.0692909418906249,0.0914787289348553,0.1119439551023839,,,,,0.0050999814333457,-0.0004348422066466,-0.015447644452823,-0.022410774980158,-0.0243093468587896
1981-09-30,62,9.3,10.4,5.1,8.5,7.7,8.3,0,0.026,0.0390814999999999,0.0611619818749999,0.0815893500260938,0.1040323290391354,,,,,0.0018499814333457,0.0054784702933532,-0.0073186844371981,-0.0125213960713965,-0.016397720795541
1981-09-30,66,8.0,9.5,8.0,8.0,7.4,8.4,0,0.02375,0.0442249999999999,0.0651094999999999,0.0848140257499998,0.1075951202907496,,,,,0.0040999814333457,0.0003349702933532,-0.0112662025621981,-0.0157460717953026,-0.0199605120471553
1981-09-30,68,7.5,9.2,8.6,8.1,8.1,7.5,0,0.023,0.0449945,0.0661556386250001,0.0877452903071565,0.1081405145004157,,,,,0.0048499814333457,-0.0004345297066468,-0.0123123411871983,-0.0186773363524592,-0.0205059062568213
1981-09-30,70,7.4,8.5,8.0,8.0,7.2,7.0,0,0.02125,0.0416749999999999,0.0625084999999998,0.0816336529999999,0.1005622419275,,,,,0.0065999814333457,0.0028849702933533,-0.008665202562198,-0.0125656990453026,-0.0129276336839057
1981-09-30,72,7.6,8.0,8.0,8.0,8.0,8.0,0,0.02,0.0403999999999999,0.0612079999999999,0.0824321599999999,0.1040808032,,,,,0.0078499814333457,0.0041599702933532,-0.0073647025621981,-0.0133642060453027,-0.0164461949564056
1981-09-30,75,7.5,9.6,8.4,8.0,7.5,7.0,0,0.024,0.0455039999999999,0.0664140799999999,0.086409344,0.10542150752,,,,,0.0038499814333457,-0.0009440297066467,-0.0125707825621981,-0.0173413900453027,-0.0177868992764056
1981-09-30,79,6.8,10.7,8.9,7.7,7.8,7.9,0,0.02675,0.0495951875000002,0.0697998948593752,0.090660992809133,0.1122015474171134,,,,,0.0010999814333457,-0.005035217206647,-0.0159565974215734,-0.0215930388544358,-0.024566939173519
1981-09-30,82,9.6,10.8,8.1,7.9,7.5,7.5,0,0.027,0.04779675,0.0684907358124999,0.0885249371089844,0.1089347796797779,,,,,0.0008499814333457,-0.0032367797066468,-0.0146474383746981,-0.0194569831542872,-0.0213001714361835
1981-09-30,84,7.9,7.0,7.5,7.5,7.0,8.0,0,0.0175,0.0365781250000001,0.0560139648437501,0.0744942092285159,0.0959840934130862,,,,,0.0103499814333457,0.0079818452933531,-0.0021706674059482,-0.0054262552738186,-0.0083494851694918
1981-09-30,87,9.7,10.0,8.5,8.5,8.0,8.0,0,0.025,0.0467812499999999,0.0690253515624998,0.0904058585937499,0.1122139757656248,,,,,0.0028499814333457,-0.0022212797066467,-0.015182054124698,-0.0213379046390527,-0.0245793675220304
1981-12-31,5,11.9,10.5,6.5,7.0,8.0,8.2,0,0.02625,0.0429265625000001,0.0611777773437502,0.0824013328906252,0.1045905602148831,0.00575,0.0038024375000003,0.0023102939687502,0.0023564998481253,-0.0099927745664739,-0.0176375451589596,-0.0210766212743862,-0.0242365930062322,-0.0431743752437847
1981-12-31,19,11.9,9.8,7.1,6.5,7.3,7.2,0,0.0245,0.0426848749999999,0.0596285042187501,0.0789667244207423,0.0983881254603158,0.0069999999999999,0.0086504999999996,0.0077570362499996,0.0107912486984762,-0.0082427745664739,-0.0173958576589594,-0.019527348149386,-0.0208019845363494,-0.0369719404892174
1981-12-31,20,11.0,11.3,11.4,11.6,11.7,11.8,0,0.02825,0.0575551250000001,0.0882242236250001,0.1200547821660313,0.1530963982399293,,,,,-0.0119927745664739,-0.0322661076589596,-0.0481230675556361,-0.0618900422816384,-0.091680213268831
1981-12-31,23,11.6,10.0,9.5,9.0,8.5,8.0,0,0.025,0.0493437499999998,0.0729539843749997,0.0957542565429685,0.1176693416738279,,,,,-0.0087427745664739,-0.0240547326589593,-0.0328528283056357,-0.0375895166585755,-0.0562531567027295
1981-12-31,30,12.9,11.0,9.8,9.2,8.7,8.0,0,0.0275,0.05267375,0.07688524625,0.1003075003559375,0.1223136503630561,,,,,-0.0112427745664739,-0.0273847326589595,-0.036784090180636,-0.0421427604715445,-0.0608974653919578
1981-12-31,31,11.9,8.7,6.2,6.4,5.5,7.2,0,0.02175,0.0375871249999999,0.0541885189999999,0.0686836111362498,0.0879199161367023,,,,,-0.0054927745664739,-0.0122981076589594,-0.0140873629306359,-0.0105188712518569,-0.026503731165604
1981-12-31,35,11.9,9.5,7.5,7.8,8.6,9.1,0,0.02375,0.0429453124999998,0.0632827460937499,0.0861433251347656,0.1108530857815817,6.245004513516506e-17,-0.0002559374999999,-0.0002609282812497,-0.0002665382392967,-0.0074927745664739,-0.0176562951589593,-0.0231815900243859,-0.0279785852503726,-0.0494369008104833
1981-12-31,40,11.9,9.2,8.2,7.1,8.4,9.7,0,0.023,0.0439714999999998,0.0625019941249998,0.0848145360016245,0.1111212884996641,,,,,-0.0067427745664739,-0.0186824826589593,-0.0224008380556357,-0.0266497961172316,-0.0497051035285658
1981-12-31,47,11.1,11.4,11.6,12.0,12.3,12.6,0,0.0285,0.0583264999999999,0.090076295,0.12359614107125,0.1589894195149945,,,,,-0.0122427745664739,-0.0330374826589594,-0.0499751389306359,-0.065431401186857,-0.0975732345438962
