DATE,CPI1,CPI2,CPI3,CPI4,CPI5,CPI6,f_t0,f_t1,f_t2,f_t3,f_t4,r_t0,r_t1,r_t2,r_t3,e_t0,e_t1,e_t2,e_t3,e_t4
1986-06-30,1.361904761904762,0.04285714285714282,2.5428571428571427,3.4285714285714284,3.7857142857142856,3.8333333333333335,0.00010714285714285706,0.006464966836734698,0.015091809409621071,0.024698928320104896,0.03451895971650587,-0.0077678571428572195,-0.010125861288265314,-0.011179735919569112,-0.01201026511214942,-0.004974803337824181,-0.005248051716564284,-0.006877632348471163,-0.0034029137171234236,-0.0016622514719057957
1986-09-30,-0.6722222222222223,2.7222222222222223,3.216666666666667,3.361111111111111,3.5166666666666666,3.744444444444445,0.006805555555555556,0.014901950231481553,0.023429945785510053,0.03242760072554107,0.04209227021011075,0.000448412698412606,-8.111099300833757e-05,-0.001159205125568663,-0.001980529548435417,-0.0006912174326574785,-0.0017561232672507199,0.0028617081429520574,0.00548129563642763,0.006822434773074759
1986-12-31,2.745,3.02,3.275,3.505,3.7299999999999995,3.88,0.00755,0.015799315625000032,0.024700257128164038,0.03425558702588427,0.04428786622003544,-0.0004916666666667244,-0.0007127011574075137,-0.0007485944684555434,-0.000792605209292585,-0.0005612427833486247,0.00425537899669548,0.006901079851477476,0.008284674292863947,0.007975883400140882
1987-03-31,2.6125,3.3000000000000003,3.50625,3.70625,3.875,3.81875,0.00825,0.01708794140625014,0.026511896863342432,0.03645623086420624,0.046351148943237996,6.249999999998618e-05,6.619843750010901e-05,6.426141408777397e-06,-6.342923730251471e-06,0.004725256487628206,0.007353820814631096,0.008792870789041674,0.008504541616180195,0.0064551274599002895
1987-06-30,4.639130434782609,4.2956521739130435,4.208695652173913,4.256521739130435,4.282608695652174,4.3304347826086955,0.010739130434782609,0.021373863894139866,0.032242614032752526,0.04329434201995097,0.05458913728790615,0.0019735054347824986,0.003261394899999104,0.004267180495231004,0.005504955515375887,0.0005805001877971817,0.0006696273182522638,-0.0006668022960827358,-0.003973519857305652,-0.0033529144699138147
1987-09-30,4.741176470588236,4.294117647058823,4.447058823529411,4.605882352941176,4.670588235294118,4.623529411764705,0.010735294117647058,0.02197229238754317,0.03374000275429978,0.045810437492342704,0.05789877578453351,0.00021355498721219862,0.0006972838809269355,0.0015306911674768386,0.00242633814094928,-0.00013146495711690437,-0.001942837306541767,-0.00605222661291549,-0.006340628950369354,-0.005763282411926918
1987-12-31,3.99375,4.18125,4.35625,4.19375,4.33125,4.525,0.010453125,0.02145759106445322,0.032166935495769655,0.04334336809418482,0.05514618994575038,-0.0006645220588234538,-0.0013027783127093073,-0.0025356652532380064,-0.0033191774223040316,-0.0011263980982221741,-0.0045528985549807555,-0.0036038343590749644,-0.0022474776832259735,-0.002391890907569305
1988-03-31,3.5647058823529414,4.0058823529411764,4.135294117647058,4.252941176470588,4.31764705882353,4.7,0.010014705882352941,0.020456475562283805,0.03130632897157093,0.042438370816646254,0.05468702167374184,-0.0008759191176471014,-0.0010327058342007867,-0.001243664967222502,-0.0017923449285799364,-0.002506764790813869,-0.0013978558683769293,0.00016927021988144553,0.0005879069771739243,0.00017870168750566684
1988-06-30,3.2176470588235295,4.247058823529412,4.423529411764706,4.582352941176471,4.770588235294118,4.794117647058823,0.01061764705882353,0.02179388927335646,0.03349943985782611,0.045825440530248285,0.05835996603072102,0.0002794117647058267,0.0007133812716264565,0.0013972687256069705,0.0015960688872256323,0.0008469559792962725,0.001995162030742126,0.0017542144843922802,0.001179431926042973,0.005268580830843916
1988-09-30,4.65625,4.7375,4.9375,5.05,5.1375,5.06875,0.01184375,0.024333696289062567,0.03726590920471207,0.05058829322606018,0.06390121675428428,0.0007849264705882125,0.0016923018253947042,0.0024280122276612026,0.0033475596896521687,0.0003410048880702482,-0.0008142856911594887,-0.0021284765042302034,0.000984390253679246,-0.003827541492170239
1988-12-31,5.021428571428571,4.957142857142857,4.95,4.942857142857143,4.928571428571429,5.042857142857143,0.012392857142857143,0.024921218750000085,0.03758631666741086,0.05037086235491994,0.0636130378696087,4.910714285704526e-05,-0.00020337109375012652,-0.0007047171271450381,-0.001077265633501634,-0.0011946488561829713,-0.002244846969484904,0.001327457128781795,-0.0030584323437217176,-0.005942265193236818
1989-03-31,4.264285714285714,4.628571428571428,4.8999999999999995,5.028571428571429,5.057142857142857,5.1000000000000005,0.011571428571428571,0.02396317857142871,0.03683585853061255,0.04994442617060679,0.06333121760428218,-0.0008035714285714538,-0.0009218839285713987,-0.0006772520609055199,-0.0006487604222971122,-0.00022037652270202011,0.0034454593023256486,-0.0011215728163267435,-0.003986508119665277,0.000345415839793084
1989-06-30,5.20909090909091,5.845454545454545,5.2727272727272725,5.154545454545455,5.081818181818182,4.963636363636364,0.014613636363636362,0.027988088842975323,0.04123511716965633,0.054463536044607075,0.06754846992370589,0.0023636363636362675,0.0030126602715463413,0.003301070679859963,0.0032958304620658296,0.0012637247094543173,-0.0038982996286309746,-0.007016666581098896,-0.0027252387547083146,-0.004860268445468829
1989-09-30,5.800000000000001,4.1923076923076925,4.292307692307692,4.269230769230769,4.269230769230769,4.346153846153846,0.010480769230769231,0.02132400517751476,0.032224674848159385,0.04324168820471197,0.05457691039385937,-0.0027010489510489524,-0.0049140423431464075,-0.007051260594411746,-0.008930716800396477,-0.002396694857284991,-0.0032695724100666457,0.0030757832493883974,0.0028375357241481325,0.009556746302448849
1989-12-31,3.0266666666666664,4.08,4.133333333333334,4.12,4.166666666666667,4.233333333333333,0.0102,0.020638733333333326,0.031151312286666677,0.04189247178965294,0.05291916711609357,-0.0005307692307692097,-0.0008796431459567877,-0.001269808403123518,-0.0017463014614782502,-0.0003095963646084915,0.006359395509222043,0.006539144810366215,0.013707635133629603,0.020590589633438627
1990-03-31,4.0,4.869230769230769,4.315384615384615,4.361538461538461,4.546153846153846,4.615384615384615,0.012173076923076922,0.023092867233727832,0.03424851445914179,0.04600314661386018,0.05807241369017402,0.0018397435897436164,0.0023531005670611727,0.002876041889697145,0.003715315376388695,0.004767103066335297,0.004434925249067412,0.01101352895006924,0.016993147721767077,0.0131292803278249
1990-06-30,7.042222222222222,4.043333333333333,3.9633333333333334,3.9311111111111114,4.204444444444444,4.487777777777778,0.010108333333333332,0.020116823402777984,0.030142304850553137,0.04097024507709346,0.05264935291005557,-0.000680128205128137,-0.0016931200143817104,-0.003280901577367157,-0.004377075271148945,0.00030291081034189253,0.00773325468155317,0.015146607174433946,0.012387381159241873,0.006694738708892922
1990-09-30,3.6509090909090904,5.545454545454546,4.553636363636364,4.419090909090909,3.7654545454545456,3.962727272727273,0.013863636363636364,0.02540555216942164,0.03673395305372962,0.04649338949361259,0.05686080923180059,0.003955303030302957,0.0055720641601622045,0.0061808819371727,0.004378085448611957,0.0033955084071002808,0.009112737372051871,0.005769910933905553,0.0019352555347231792,-0.00018899058162036297
1990-12-31,6.4,7.428571428571429,5.380952380952381,4.128571428571429,4.1952380952380945,4.238095238095238,0.018571428571428572,0.03227363945578254,0.042928178091593994,0.053866508149911896,0.06503247472435736,0.0071873376623375895,0.009716052942352782,0.010744606297849346,0.011457281380146789,-0.0016051079839379812,-0.0074572302382589495,-0.012287509567917132,-0.015122522330717203,-0.017931942944159784
1991-03-31,6.923636363636363,3.88,2.911363636363636,3.5463636363636364,3.6163636363636367,3.7386363636363638,0.0097,0.017049009659090952,0.026066073719727578,0.035342643813493835,0.045019567955955075,-0.003752380952380993,-0.006863647653834404,-0.008585477058586921,-0.010271286490924236,-0.001980876494023856,-0.0036027945196488442,-0.004651731090245637,-0.005711169709908148,-0.008664986282648446
1991-06-30,3.4566666666666666,2.884444444444444,3.638888888888889,3.674444444444444,3.9655555555555555,3.8940740740740742,0.00721111111111111,0.01637393441358026,0.02571045830554053,0.03587923782135283,0.04596371403103228,-6.729797979793378e-05,0.00016508651843571975,0.0003141585991983664,0.0008989783819599584,-0.001527888971254496,-0.002783620600879555,-0.003965956205219223,-0.007463127122069535,-0.009146318429352096
1991-09-30,2.1036,3.2927999999999997,3.5812,3.9063999999999997,3.826,3.9812,0.008232,0.017258701095999918,0.0271932495709033,0.03701835300304901,0.04733979667048849,-0.0008652222222223123,-0.0011082003314693,-0.001269628165439629,-0.0014568013041458272,-0.0003695921375921167,-0.0012881851254837873,-0.004588826966480664,-0.006060122044817984,-0.008519157849849801
