,DATE,ID,INDUSTRY,CPI1,CPI2,CPI3,CPI4,CPI5,CPI6,f_t0,f_t1,f_t2,f_t3,f_t4,r_t0,r_t1,r_t2,r_t3,e_t0,e_t1,e_t2,e_t3,e_t4
36,1981-12-31,84,,11.3,8.5,7.5,7.5,7.5,8.0,0.02125,0.0403984374999999,0.059905908203125,0.0797791439819337,0.1013747268615723,0.0024999999999999,0.0025468749999999,0.0038919433593749,0.0026448998413084,-0.0049927745664739,-0.0151094201589594,-0.0198047521337609,-0.0216144040975407,-0.0399585418904739
37,1982-03-31,5,,7.8,6.0,6.2,6.6,6.8,7.2,0.015,0.0307325,0.04773958625,0.0655511592162498,0.0847310800821423,-0.00125,-0.0033018750000002,-0.00697547625,-0.0107855620650003,-0.0061126910771417,-0.0072700044436546,-0.0065024728479383,-0.0211146146019589,-0.0395835507540229
38,1982-03-31,19,,7.8,6.0,6.3,7.5,7.3,6.6,0.015,0.0309862499999997,0.0503172421874997,0.0694855318574216,0.0871320431330691,-0.0027499999999999,-0.0033021875000003,-0.0028469592968753,-0.0026356252536723,-0.0061126910771417,-0.0075237544436543,-0.009080128785438,-0.0250489872431307,-0.0419845138049497
39,1982-03-31,23,,7.8,6.8,6.3,6.9,6.5,7.5,0.017,0.0330177499999997,0.0508373061874998,0.0679134124130467,0.0879367888957913,-0.0067499999999999,-0.0137666250000001,-0.01819123678125,-0.0224957014150781,-0.0081126910771417,-0.0095552544436543,-0.0096001927854381,-0.0234768677987557,-0.0427892595676719
40,1982-03-31,30,,4.1,3.8,4.2,4.7,5.1,4.5,0.0095,0.0200997499999999,0.0320859220624998,0.0452450175687968,0.0570040240164457,-0.0149999999999999,-0.02796375,-0.0387729590625001,-0.0470310411787029,-0.0006126910771417,0.0033627455563454,0.0091511913395618,-0.0008084729545059,-0.0118564946883263
41,1982-03-31,31,,7.8,5.5,5.7,5.9,6.0,5.1,0.01375,0.0281959375,0.0433618275781251,0.0590122549917968,0.0725146612429423,-0.00175,-0.0035520625,-0.0025727074218748,-0.0057491016382029,-0.0048626910771417,-0.0047334419436546,-0.0021247141760634,-0.0145757103775059,-0.0273671319148229
42,1982-03-31,40,,5.9,3.6,5.1,6.3,5.3,8.9,0.009,0.0218647499999999,0.0379591198125,0.0517120781500155,0.0751126718888535,-0.0114999999999999,-0.0167491249999998,-0.0224656465624997,-0.0344279888095779,-0.0001126910771417,0.0015977455563453,0.0032779935895617,-0.0072755335357246,-0.0299651425607341
43,1982-03-31,41,,9.8,9.5,9.5,8.5,8.0,8.0,0.02375,0.0480640624999999,0.0703354238281248,0.0917421323046874,0.1135769749507811,0.02125,0.0433084374999999,0.0635702875781247,0.0829634657821871,-0.0148626910771417,-0.0246015669436545,-0.0290983104260631,-0.0473055876903965,-0.0684294456226617
44,1982-03-31,47,,1.4,1.0,1.3,1.5,1.8,2.0,0.0025,0.0057581249999998,0.0095297179687496,0.0140726016996091,0.0191429647081069,-0.0264999999999999,-0.0541118750000002,-0.0829312845312504,-0.112800922379141,0.0063873089228582,0.0177043705563455,0.031707395433312,0.0303639429146818,0.0260045646200124
46,1982-03-31,62,,5.8,6.1,7.0,6.9,6.8,6.7,0.01525,0.0330168750000001,0.0508364160937502,0.0687006351673438,0.0866013708063968,-0.0137499999999999,-0.0260813749999995,-0.0397700068437496,-0.0548966320640156,-0.0063626910771417,-0.0095543794436547,-0.0095993026916885,-0.0242640905530528,-0.0414538414782774
48,1982-03-31,67,,7.6,6.3,6.2,6.4,5.3,6.0,0.01575,0.031494125,0.0479980310000001,0.06188400491075,0.0778122649844113,-0.0032499999999999,-0.0073763749999999,-0.0108707261249998,-0.0168385414103438,-0.0068626910771417,-0.0080316294436546,-0.0067609175979383,-0.0174474602964591,-0.0326647356562919
49,1982-03-31,70,,5.3,6.0,8.0,7.2,6.8,7.0,0.015,0.0352999999999998,0.0539353999999998,0.0718523017999996,0.0906097170814996,-0.0045,-0.0045900000000003,-0.0046726200000002,-0.0047520545400003,-0.0061126910771417,-0.0118375044436545,-0.0126982865979381,-0.0274157571857087,-0.0454621877533802
51,1982-03-31,75,,5.9,4.5,6.0,7.0,7.0,7.0,0.01125,0.0264187499999999,0.044381078125,0.0626577469921876,0.0812542575645509,-0.00625,-0.0063437499999998,-0.006454765625,-0.0065677240234374,-0.0023626910771417,-0.0029562544436545,-0.0031439647229383,-0.0182212023778967,-0.0361067282364315
52,1982-03-31,79,,7.5,5.9,6.4,6.9,7.0,6.7,0.01475,0.0309859999999999,0.0487705084999998,0.0671239923987498,0.0849983192714289,-0.0037499999999999,-0.0058470000000001,-0.0062070690000002,-0.0068431814962504,-0.0058626910771417,-0.0075235044436545,-0.0075333950979381,-0.0226874477844589,-0.0398507899433095
53,1982-06-30,5,,3.2,2.4,5.5,6.0,7.0,6.9,0.006,0.0198324999999999,0.0351299874999997,0.0532447622812497,0.0714132344306013,-0.0095,-0.0124232500000003,-0.0146741102500003,-0.0154558092282501,0.0084467935165606,0.0122323343904156,0.0001060942477097,-0.0173039588985859,-0.0234921632537163
55,1982-06-30,19,,3.2,2.2,5.3,6.5,6.2,5.6,0.0055,0.0188228750000001,0.0353787467187503,0.051427117292891,0.0661470969349915,-0.0102499999999999,-0.0159724374999996,-0.0183015802343746,-0.0196389350549603,0.0089467935165606,0.0132419593904153,-0.0001426649710407,-0.0154863139102272,-0.0182260257581066
56,1982-06-30,31,,3.3,3.6,5.1,5.5,4.9,5.6,0.009,0.0218647499999999,0.0359153903125,0.0486053538438282,0.0632858287976418,-0.00525,-0.0073454375000001,-0.0087329499999999,-0.0093622528076562,0.0054467935165606,0.0102000843904155,-0.0006793085647904,-0.0126645504611644,-0.0153647576207569
57,1982-06-30,40,,3.4,1.5,5.5,6.3,8.2,7.1,0.00375,0.0175515624999997,0.0335779996093748,0.0547663486013669,0.0734884512890412,-0.009,-0.0111492500000003,-0.0087530986562502,-0.0107566166006682,0.0106967935165606,0.0145132718904157,0.0016580821383347,-0.0188255452187031,-0.0255673801121563
58,1982-06-30,41,,6.0,6.5,6.6,6.8,7.0,7.0,0.01625,0.0330181250000001,0.050579433125,0.0689645732046875,0.0876714532357696,-0.0074999999999999,-0.0124865624999999,-0.0158353481249999,-0.0187785036703125,-0.0018032064834393,-0.0009532906095846,-0.0153433513772904,-0.0330237698220237,-0.0397503820588847
59,1982-06-30,47,,-0.3,-0.5,-0.2,0.2,0.1,0.4,-0.00125,-0.0017493749999999,-0.0012502496874999,-0.0010005622499217,-1.5628121717847776e-06,-0.0044999999999999,-0.0087615624999997,-0.0127939920312498,-0.01760202330539,0.0156967935165606,0.0338142093904154,0.0364863314352095,0.0369413656325855,0.0479226339890567
61,1982-06-30,60,,3.3,4.3,5.6,5.8,5.0,5.3,0.01075,0.0249004999999999,0.0397615572499998,0.0527585767156248,0.0667076278571068,-0.0037499999999999,-0.0065923749999998,-0.0092666966249999,-0.0127918721579061,0.0036967935165606,0.0071643343904155,-0.0045254755022903,-0.016817773332961,-0.0187865566802218
62,1982-06-30,65,,3.2,2.4,2.2,3.2,2.9,2.3,0.006,0.011533,0.019625264,0.0270175471639999,0.0329228980601927,-0.0109999999999999,-0.019705,-0.0273391154999997,-0.036436521313125,0.0084467935165606,0.0205318343904155,0.0156108177477094,0.0089232562186638,0.0149981731166921
64,1982-06-30,67,,3.1,4.5,5.0,5.5,4.5,5.0,0.01125,0.0238906249999999,0.0379691210937498,0.0496462737060545,0.0627668521273803,-0.00425,-0.0078573750000001,-0.0074495399062504,-0.0114536672089455,0.0031967935165606,0.0081742093904155,-0.0027330393460403,-0.0137054703233907,-0.0148457809504953
67,1982-06-30,70,,3.3,6.0,7.2,6.8,7.0,7.5,0.015,0.0332699999999999,0.0508355899999997,0.0692252128249997,0.0892731855654684,-0.005,-0.00509,-0.0051765300000001,-0.005267119275,-0.0005532064834393,-0.0012051656095843,-0.0155995082522901,-0.0332844094423359,-0.0413521143885835
68,1982-06-30,72,,0.1,5.0,5.0,6.0,6.0,6.0,0.0125,0.0251562499999999,0.0405335937499999,0.0561415976562498,0.0719837216210934,-0.00375,-0.0076078125,-0.0090128847656252,-0.0109847843745123,0.0019467935165606,0.0069085843904155,-0.0052975120022904,-0.020200794273586,-0.0240626504442085
69,1982-06-30,75,,3.5,3.7,6.5,7.0,7.0,7.0,0.00925,0.0256503125,0.04359919296875,0.0618621788457032,0.080444766975503,-0.0057499999999999,-0.0071121874999999,-0.00723665078125,-0.007363292169922,0.0051967935165606,0.0064145218904154,-0.0083631112210404,-0.0259213754630394,-0.0325236957986181
70,1982-06-30,79,,3.3,-0.2,4.8,5.0,5.2,5.8,-0.0005,0.0114940000000001,0.0241376749999999,0.0374514647749999,0.0524945110142374,-0.0165,-0.0220319999999996,-0.0274750299999999,-0.0317757530337499,0.0149467935165606,0.0205708343904154,0.0110984067477095,-0.0015106613923361,-0.0045734398373524
72,1982-09-30,5,,4.6,8.5,6.5,6.3,6.2,6.0,0.02125,0.0378453125,0.0541913761718748,0.0705313425025389,0.0865893126400769,0.0075,0.0088890625000002,0.0072283917968751,0.0055082466470703,-0.0038828586314692,-0.0173520856851334,-0.0330034637022671,-0.0375337739023304,-0.0435188020461205
73,1982-09-30,19,,4.3,7.2,2.2,5.5,6.0,6.0,0.018,0.0235990000000001,0.0376734862500001,0.05323858854375,0.0690371673719061,0.00475,-0.0061163125000001,-0.0080024135937502,-0.0070767738978128,-0.0006328586314692,-0.0031057731851336,-0.0164855737803923,-0.0202410199435416,-0.0259666567779497
78,1982-09-30,47,,3.3,7.0,7.8,8.2,8.5,8.7,0.0175,0.0373412500000001,0.0586067456250001,0.0811021389695314,0.1046161104921186,0.0179999999999999,0.0373415000000001,0.0583569956875,0.0798521392820938,-0.0001328586314692,-0.0168480231851335,-0.0374188331553924,-0.048104570369323,-0.0615455998981622
79,1982-09-30,51,,6.1,5.5,5.2,5.0,4.9,4.8,0.01375,0.0269287499999997,0.0397653593749995,0.0525024850273434,0.0651325148476715,0.0042499999999999,0.0073337499999996,0.0089548143749995,0.0093222134873434,0.0036171413685307,-0.0064355231851331,-0.0185774469053918,-0.019504916427135,-0.0220620042537151
80,1982-09-30,60,,7.1,7.4,8.0,6.2,6.1,5.4,0.0185,0.0388699999999999,0.0549724849999999,0.0710608153962499,0.0855201364040993,0.0044999999999999,0.010167,0.0134106975000001,0.0156983342118752,-0.0011328586314692,-0.0183767731851334,-0.0337845725303922,-0.0380632467960415,-0.042449625810143
82,1982-09-30,65,,4.6,9.0,5.8,6.7,6.0,6.0,0.0225,0.03732625,0.0547014646875001,0.0705219866578126,0.0865798164576796,0.0169999999999999,0.02378225,0.0338092706875001,0.0437596625423128,-0.0051328586314692,-0.0168330231851334,-0.0335135522178924,-0.0375244180576042,-0.0435093058637232
83,1982-09-30,66,,4.6,7.3,7.0,6.1,6.6,6.9,0.01825,0.036069375,0.0518694329687501,0.0692252786127345,0.0876694146688041,0.0027499999999999,0.0035597499999999,0.0033559087812498,0.0049840515624217,-0.0008828586314692,-0.0155761481851335,-0.0306815204991424,-0.0362277100125261,-0.0445989040748477
84,1982-09-30,68,,4.6,8.0,4.6,6.6,6.0,5.6,0.02,0.03173,0.048753545,0.064484848175,0.0793876360494501,0.0052499999999999,0.0017587500000002,-0.0005296659374998,-0.0018492149402344,-0.0026328586314692,-0.0112367731851334,-0.0275656325303923,-0.0314872795747915,-0.0363171254554937
85,1982-09-30,69,,4.6,6.0,6.0,6.5,7.0,6.5,0.015,0.0302249999999997,0.0469661562499998,0.0652880639843749,0.082598995024121,0.0009999999999999,-0.0002525000000004,-0.0028327968750003,-0.0041946195117192,0.0023671413685307,-0.0097317731851331,-0.0257782437803921,-0.0322904953841665,-0.0395284844301646
86,1982-09-30,70,,6.3,8.9,5.1,6.0,6.3,6.0,0.02225,0.0352836875000002,0.0508129428125001,0.067363246661797,0.0833736953617239,0.0042499999999999,-2.2312499999621593e-05,-0.0026109121874997,-0.0058123056194527,-0.0048828586314692,-0.0147904606851336,-0.0296250303428924,-0.0343656780615886,-0.0403031847677675
87,1982-09-30,75,,4.6,9.5,6.5,6.0,5.5,5.0,0.02375,0.0403859374999999,0.0559917265624998,0.0705116128027341,0.0838930079627682,0.0074999999999999,0.0063515624999999,0.0038617499999997,-3.063834960981282e-05,-0.0063828586314692,-0.0198927106851334,-0.0348038140928921,-0.0375140442025256,-0.0408224973688118
88,1982-09-30,79,,4.4,7.6,4.9,5.4,6.0,6.2,0.019,0.0314827499999998,0.0454077671249999,0.0610888836318748,0.0775357613281688,0.0069999999999999,0.00683275,0.0074373171249999,0.008067862106875,-0.0016328586314692,-0.0109895231851333,-0.0242198546553922,-0.0280913150316663,-0.0344652507342124
89,1982-09-30,80,,4.6,8.8,5.8,6.6,5.7,5.7,0.022,0.0368189999999999,0.0539265134999999,0.0689449663173751,0.0841774320873978,0.01275,0.0129348749999997,0.0126363583749999,0.0107338461715937,-0.0046328586314692,-0.0163257731851333,-0.0327386010303922,-0.0359473977171667,-0.0411069214934414
92,1982-12-31,19,,7.6,1.7,4.0,5.8,5.6,5.7,0.00425,0.0142925,0.02899974125,0.0434057376275001,0.0582742693886921,-0.00125,-0.0050331249999999,-0.0056157681249999,-0.0067290043881247,-0.0011772789347898,-0.01053695203141,-0.0136361359239502,-0.0181411422024402,-0.0227672704129324
94,1982-12-31,35,,7.9,0.8,4.7,6.0,6.0,6.0,0.002,0.0137734999999998,0.0289801024999998,0.0444148040374996,0.0600810260980619,-0.00675,-0.0126296250000002,-0.0128190693750003,-0.0143136043804692,0.0010727210652101,-0.0100179520314098,-0.01361649717395,-0.0191502086124397,-0.0245740271223022
97,1982-12-31,43,,7.6,3.5,4.8,5.0,4.8,5.0,0.00875,0.020855,0.0336156874999999,0.04601907575,0.0590943141968749,-0.00075,-0.00227325,-0.0017901015000001,-0.00258813705975,-0.0056772789347898,-0.01709945203141,-0.0182520821739502,-0.0207544803249402,-0.0235873152211152
98,1982-12-31,47,,7.6,8.0,8.4,9.2,9.6,10.0,0.02,0.04142,0.0653726599999999,0.0909416038399999,0.1182151439359997,0.0004999999999999,0.00102025,0.0028644153124999,0.0053238048305468,-0.0169272789347898,-0.03766445203141,-0.0500090546739502,-0.06567700841494,-0.08270814496024
99,1982-12-31,51,,5.2,5.0,5.0,4.9,4.8,4.8,0.0125,0.0251562499999999,0.0377144140625,0.05016698703125,0.062768990875625,-0.0004999999999998,-0.0005062499999997,-0.0005124515624996,-0.0005186009812496,-0.0094272789347898,-0.0214007020314099,-0.0223508087364503,-0.0249023916061901,-0.0272619918998653
100,1982-12-31,60,,7.6,3.2,5.1,5.0,5.8,6.1,0.008,0.020852,0.03361265,0.048600033425,0.0645911839347312,-0.012,-0.0149579999999998,-0.0179934525,-0.01720275145875,-0.0049272789347898,-0.01709645203141,-0.0182490446739502,-0.0233354379999402,-0.0290841849589715
101,1982-12-31,62,,7.9,3.4,4.0,4.0,4.0,3.3,0.0085,0.0185849999999998,0.0287708499999999,0.0390585584999998,0.0476307916076248,-0.001,-0.0030290000000001,-0.0071457460000001,-0.0111018906950002,-0.0054272789347898,-0.0148294520314098,-0.0134072446739501,-0.0137939630749399,-0.0121237926318651
102,1982-12-31,66,,7.6,4.7,5.5,6.3,6.8,6.0,0.01175,0.0256615624999998,0.0418157321093748,0.059526599555234,0.0754194985485625,-0.00575,-0.0073553125000001,-0.0082459213281251,-0.0086486174040627,-0.0086772789347898,-0.0219060145314098,-0.026452126783325,-0.0342620041301742,-0.0399124995728028
104,1982-12-31,68,,7.6,3.5,5.5,5.2,5.0,5.3,0.00875,0.0226203124999999,0.0359143765624998,0.0488633062695309,0.0627607450776022,-0.00275,-0.0055694375000001,-0.0076982196875001,-0.009359866327969,-0.0056772789347898,-0.0188647645314099,-0.0205507712364501,-0.023598710844471,-0.0272537461018425
105,1982-12-31,69,,7.6,4.5,5.0,5.5,6.0,6.0,0.01125,0.0238906249999999,0.0379691210937498,0.0535386579101559,0.0693417377788081,-0.0037499999999999,-0.0076031250000001,-0.0115757695312501,-0.0130613371875003,-0.0081772789347898,-0.0201350770314099,-0.0226055157677,-0.0282740624850961,-0.0338347388030484
106,1982-12-31,70,,7.6,4.0,3.4,5.5,5.4,5.3,0.01,0.0185849999999998,0.0325905437499998,0.0465305160906248,0.0603970454288256,-0.00275,-0.0093562500000001,-0.0115407809375003,-0.0132627784671877,-0.0069272789347898,-0.0148294520314098,-0.01722693842395,-0.0212659206655649,-0.0248900464530659
108,1982-12-31,75,,7.8,4.8,5.5,5.5,5.0,6.0,0.012,0.0259149999999999,0.0400213312499997,0.0530215978906247,0.068816921858984,-0.00425,-0.0055787499999999,-0.0056554578125,-0.0057261510351562,-0.0089272789347898,-0.0221594520314099,-0.0246577259239499,-0.0277570024655648,-0.0333099228832243
109,1982-12-31,79,,7.8,3.2,6.0,5.7,6.2,5.7,0.008,0.0231199999999998,0.0376994599999997,0.0537838016299998,0.0688002208032274,-0.00425,-0.0027953750000002,-0.003604645625,-0.0036605176321875,-0.0049272789347898,-0.0193644520314097,-0.02233585467395,-0.0285192062049399,-0.0332932218274677
110,1982-12-31,84,,4.5,5.5,5.0,4.0,4.0,5.0,0.01375,0.0264218749999998,0.0366860937499997,0.0470529546874998,0.0601411166210934,0.0062499999999999,0.0063281249999997,0.0063914062499996,0.0051674519531248,-0.0106772789347898,-0.0226663270314098,-0.02132248842395,-0.0217883592624399,-0.0246341176453337
111,1982-12-31,87,,7.9,5.8,5.8,6.0,6.0,6.2,0.0144999999999999,0.0292102499999999,0.0446484037499999,0.0603181298062498,0.0767530608182467,-0.0004999999999999,-0.0035522499999998,-0.0061874400000001,-0.0089073412093751,-0.0114272789347898,-0.0254547020314099,-0.0292847984239501,-0.0350535343811899,-0.041246061842487
114,1983-03-31,19,,2.6,0.4,4.8,5.3,5.6,5.4,0.001,0.0130119999999998,0.0264344089999997,0.0408044907259996,0.0548553513508007,-0.009,-0.0116330000000002,-0.0125556210000004,-0.0129911472015005,-0.0003192648059905,-0.0007587665078283,-0.0043105151946898,-0.0084695690105469,-0.0078846229641431
116,1983-03-31,35,,0.8,2.0,2.5,4.5,5.0,4.5,0.005,0.0112812499999999,0.0226581640624998,0.0354413911132811,0.0470901067633056,-0.0067499999999999,-0.0156449999999999,-0.0196719796874997,-0.0225237047929682,-0.0043192648059905,0.0009719834921715,-0.0005342702571899,-0.0031064693978284,-0.0001193783766479
117,1983-03-31,40,,1.8,1.6,4.0,5.8,6.3,5.4,0.004,0.01404,0.0287435799999999,0.0449462913849998,0.0590530663186974,-0.0202500000000001,-0.0263419375,-0.0251633226874998,-0.0252961682941563,-0.0033192648059905,-0.0017867665078286,-0.0066196861946901,-0.0126113696695471,-0.0120823379320398
118,1983-03-31,41,,-3.0,-3.0,1.5,2.5,3.0,-1.0,-0.0075,-0.003778125,0.00244826171875,0.0099666236816406,0.0074417071224366,-0.0224999999999999,-0.0340031249999998,-0.0432301132812495,-0.0513969269433587,0.0081807351940094,0.0160313584921715,0.0196756320865598,0.022368298033812,0.0395290212642209
119,1983-03-31,43,,2.6,6.0,3.7,4.0,4.1,5.0,0.015,0.0243887499999999,0.0346326374999998,0.045237622034375,0.0583030923098046,0.0029999999999999,-0.0002612500000001,-0.0023131625000001,-0.0046700004656248,-0.0143192648059905,-0.0121355165078285,-0.01250874369469,-0.0129027003189223,-0.011332363923147
120,1983-03-31,47,,0.2,4.2,5.4,4.1,5.4,5.8,0.0105,0.02414175,0.0346392029375002,0.0486068321771564,0.0638116312437251,-0.0104999999999999,-0.0203412499999999,-0.0349113890624996,-0.0476825246228433,-0.0098192648059905,-0.0118885165078286,-0.0125153091321903,-0.0162719104617037,-0.0168409028570675
121,1983-03-31,51,,0.8,5.0,5.0,6.0,6.0,5.0,0.0125,0.0251562499999999,0.0405335937499999,0.0561415976562498,0.0693433676269528,4.5102810375396984e-17,0.0002531249999999,0.00333163125,0.0064932116062497,-0.0118192648059905,-0.0129030165078285,-0.0184096999446901,-0.0238066759407971,-0.0223726392402952
122,1983-03-31,60,,2.6,2.6,4.2,4.4,5.1,4.9,0.0065,0.0170682499999998,0.0282560007499999,0.0413662647595625,0.0541230015028673,-0.00625,-0.008341125,-0.0120218101875002,-0.0147757827947343,-0.0058192648059905,-0.0048150165078284,-0.00613210694469,-0.0090313430441097,-0.0071522731162096
123,1983-03-31,62,,0.8,2.8,4.0,5.2,4.6,4.0,0.0069999999999999,0.0170699999999999,0.0302919099999998,0.0421402669649999,0.05256166963465,-0.003,-0.00303,-9.090000000044896e-06,0.0033392837150001,-0.0063192648059905,-0.0048167665078284,-0.0081680161946899,-0.0098053452495472,-0.0055909412479924
124,1983-03-31,66,,2.6,3.3,4.7,5.2,6.1,6.4,0.00825,0.0200969374999999,0.0333581976874999,0.0491169102022341,0.0659027807654699,-0.0054999999999999,-0.009619625,-0.0138635463749998,-0.013813160021203,-0.0075692648059905,-0.0078437040078285,-0.01123430388219,-0.0167819884867814,-0.0189320523788123
125,1983-03-31,70,,2.6,3.4,5.5,5.4,5.3,5.5,0.0085,0.0223668749999998,0.0361688278124998,0.0498980647810154,0.0643341631717542,4.8572257327350605e-17,0.0,0.0,0.0,-0.0078192648059905,-0.0101136415078284,-0.0140449340071899,-0.0175631430655627,-0.0173634347850966
126,1983-03-31,79,,3.2,3.8,3.8,4.7,4.6,6.0,0.0095,0.01909025,0.0310645604374999,0.0429218028825313,0.0585656299257693,-0.0054999999999999,-0.0103734999999998,-0.0143558776874999,-0.0173958764857498,-0.0088192648059905,-0.0068370165078286,-0.00894066663219,-0.0105868811670786,-0.0115949015391116
129,1983-03-31,84,,-0.4,1.0,5.0,4.0,3.0,3.0,0.0025,0.0150312499999998,0.0251815624999998,0.0328704242187498,0.0406169524003905,-0.0099999999999999,-0.00759375,-0.0076696875000001,-0.0128914664062498,-0.0018192648059905,-0.0027780165078283,-0.0030576686946899,-0.0005355025032971,0.006353775986267
130,1983-03-31,94,,2.6,4.5,5.6,5.4,5.3,5.4,0.01125,0.0254075,0.0392505012500001,0.0530205703915627,0.0672363480918489,-0.00225,-0.00177475,-0.0033394824999997,-0.005208263114687,-0.0105692648059905,-0.0131542665078285,-0.0171266074446903,-0.02068564867611,-0.0202656197051913
132,1983-06-30,5,,-0.4,3.5,4.6,4.8,4.9,4.9,0.00875,0.020350625,0.0325948325,0.0452441191981252,0.0580483596583023,-0.0004999999999999,0.0005035000000002,0.0012744273437501,0.0010322089774223,0.0028146258503401,0.0010779464285715,-0.0009621794387755,0.0010143842032355,-0.0019259106787106
134,1983-06-30,19,,-0.4,5.1,5.1,4.7,4.9,4.8,0.01275,0.0256625624999999,0.0377140976093748,0.0504260953050896,0.0630312084487507,0.0007499999999999,0.0002535625000001,-0.0020506283906249,-0.0033754544959101,-0.0011853741496598,-0.0042339910714284,-0.0060814445481502,-0.0041675919037289,-0.006908759469159
135,1983-06-30,30,,0.0,1.3,1.5,1.7,1.6,1.8,0.00325,0.0070121874999999,0.011291989296875,0.0153371572540625,0.0199061744617057,-0.001,-0.0017569375000001,-0.0020165967656249,-0.0027846445922343,0.0083146258503401,0.0144163839285715,0.0203406637643495,0.0309213461472981,0.036216274517886
137,1983-06-30,40,,-0.1,2.6,4.9,5.6,6.5,5.2,0.0065,0.0188296249999999,0.0330932397499998,0.0498810048959375,0.0635294579595846,-0.0035,-0.005815375,-0.0076899189999999,-0.0049527264971873,0.0050646258503401,0.0025989464285716,-0.0014605866887753,-0.0036225014945767,-0.0074070089799929
138,1983-06-30,41,,0.0,2.0,3.0,4.0,4.5,5.0,0.005,0.0125374999999998,0.0226628749999999,0.0341678323437499,0.0470949302480467,0.00125,0.0025140624999999,0.0050642617187499,0.019113215595703,0.0065646258503401,0.0088910714285717,0.0089697780612245,0.0120906710576107,0.0090275187315449
