DATE,CPI1,CPI2,CPI3,CPI4,CPI5,CPI6,rec,f_t0,f_t1,f_t2,f_t3,f_t4,r_t0,r_t1,r_t2,r_t3,e_t0,e_t1,e_t2,e_t3,e_t4
1981-09-30,8.1,9.642857142857142,8.035714285714286,7.921428571428572,7.628571428571428,7.707142857142857,0,0.0241071428571428,0.044680723852041,0.0653691331868966,0.0856872445126752,0.1066061112417675,,,,,0.0037428385762028,-0.0001207535586877,-0.0115258357490948,-0.016619290557978,-0.0189715029981731
1981-12-31,11.831578947368422,9.473684210526317,8.136842105263158,8.052631578947368,8.289473684210526,8.552631578947368,0,0.0236842105263157,0.0445081024930746,0.0655356998195799,0.0876175251776831,0.1108725051568111,0.0035949248120299,0.0042174057456254,0.0054051733555902,0.0070605551770035,-0.0074269850927897,-0.0192190851520341,-0.0254345437502159,-0.0294527852932902,-0.0494563201857127
1982-03-31,7.073333333333333,5.873333333333333,6.4,6.64,6.486666666666666,6.7,0,0.0146833333333333,0.0309182666666667,0.0480315098933332,0.0650270875454368,0.0828662912618229,-0.0056587719298244,-0.0099649362419202,-0.0144226278123726,-0.0201439971835817,-0.005796024410475,-0.0074557711103213,-0.0067943964912715,-0.0205905429311459,-0.0377187619337036
1982-06-30,3.25625,3.11875,5.24375,5.7875,6.06875,6.00625,0,0.007796875,0.0210084621582029,0.0357811783450545,0.0514959209102585,0.0672847893476766,-0.008203125,-0.0118571378417968,-0.0138340588016119,-0.0157003714586148,0.0066499185165606,0.0110563722322125,-0.000545096597345,-0.0155551175275947,-0.0193637181707917
1982-09-30,5.075,7.279999999999999,5.465,6.18,6.085,6.015,0,0.0181999999999999,0.0321111574999999,0.0480572748833749,0.0640008461775383,0.0800007589019331,0.005090625,0.0043433562304686,0.0046963090039573,0.0049731632948375,-0.0008328586314692,-0.0116179306851333,-0.0268693624137672,-0.0310032775773299,-0.0369302483079767
1982-12-31,7.659999999999999,3.753333333333333,5.093333333333334,5.406666666666666,5.573333333333333,5.653333333333333,0,0.0093833333333333,0.0222361477777777,0.0360533730419072,0.0504890500396244,0.0653359619468512,-0.0042791666666665,-0.0070874378472223,-0.008928797629413,-0.0102070400231659,-0.0063106122681231,-0.0184805998091877,-0.0206897677158575,-0.0252244546145645,-0.0298289629710915
1983-03-31,1.368421052631579,2.594736842105263,3.9578947368421056,4.410526315789474,4.605263157894737,4.436842105263158,0,0.0064868421052631,0.0164457645429361,0.0276534165256594,0.0394849525711853,0.0510150290845736,-0.0062464912280701,-0.009976347679286,-0.0130701771268588,-0.0159475345382886,-0.0058061069112536,-0.0041925310507646,-0.0055295227203495,-0.0071500308557326,-0.004044300697916
1983-06-30,-0.2590909090909091,3.590909090909091,4.409090909090909,4.581818181818182,4.545454545454546,4.681818181818182,0,0.0089772727272727,0.0200989540289255,0.0317837238659841,0.0435085389099159,0.0557223320357933,-0.0009174641148324,-0.000931201095728,-0.0010017126499073,-0.0007326623820664,0.0025873531230673,0.0013296173996459,-0.0001510708047596,0.0027499644914448,0.0004001169437983
1983-09-30,4.375,4.46,4.705,4.51,4.64,4.735,0,0.01115,0.0230436518749999,0.0345784690498904,0.0465795792908692,0.0589684650607247,0.0001272727272727,0.0004401188171487,0.0003544412981999,0.000250429396176,-0.0013988231338262,-0.0032050506645087,-0.0002812262792111,-0.0025311596540162,-0.0058413635139862
1983-12-31,4.752631578947368,5.163157894736842,4.978947368421053,4.942105263157895,5.152631578947369,5.394736842105263,0,0.0129078947368421,0.0255159324792244,0.0381864516976191,0.0515599324372502,0.0657421552102526,0.0011453947368422,0.0023458102917246,0.0031475560927443,0.0042687639056528,-0.002917884746832,-0.0012069081702001,-0.0042204177315852,-0.0086028894802074,-0.0137941032622008
1984-03-31,3.7052631578947377,3.8210526315789473,4.11578947368421,4.489473684210526,4.526315789473684,4.594736842105263,0,0.0095526315789473,0.0199403968144045,0.0313878857418081,0.0430588539225706,0.055040306284076,-0.0028947368421052,-0.0050160252770083,-0.0067715934183874,-0.0091021182131405,0.0046247505509571,0.0037984755891562,0.0012530638130878,-0.0015158272163393,-0.0039357893041882
1984-06-30,4.45,4.277272727272727,4.681818181818182,4.972727272727273,5.1499999999999995,5.277272727272727,0,0.0106931818181818,0.0225228861053718,0.0352347047121819,0.0485633515353511,0.0623972384800393,0.0004037081339713,0.000894242407311,0.0020455263617482,0.0035060922283394,-0.0012653534696772,-0.0043174244668806,-0.0082516097837035,-0.0121524282583682,-0.0165584868545518
1984-09-30,3.715384615384615,3.6153846153846154,4.469230769230769,5.023076923076923,5.346153846153846,5.569230769230769,0,0.0090384615384615,0.020312525887574,0.0331252966453543,0.0469334135909029,0.0615099480416685,-0.0026660839160839,-0.0039693465297812,-0.0043442048793742,-0.0042236116982601,-0.0003428093645485,-0.002921221539748,-0.0063942177403624,-0.010862560128745,-0.0189978707469826
1984-12-31,3.826315789473684,4.0210526315789465,4.252631578947368,4.273684210526316,4.494736842105263,4.61578947368421,0,0.0100526315789473,0.0207910858725759,0.031697432737425,0.0432904538895009,0.0553294766271468,-0.0011204453441295,-0.0030799914203234,-0.0058580753000621,-0.0087110192983543,-0.0014319419237749,-0.0029111369581442,-0.0045582245637341,-0.0097655496749415,-0.0112681739451543
