DATE,CPI94Q3,CPI94Q4,CPI95Q1,CPI95Q2,CPI95Q3,CPI95Q4,CPI96Q1,CPI96Q2,CPI96Q3,CPI96Q4,CPI97Q1,CPI97Q2,CPI97Q3,CPI97Q4,CPI98Q1,CPI98Q2,CPI98Q3,CPI98Q4,CPI99Q1,CPI99Q2,CPI99Q3,CPI99Q4,CPI00Q1,CPI00Q2,CPI00Q3,CPI00Q4,CPI01Q1,CPI01Q2,CPI01Q3,CPI01Q4,CPI02Q1,CPI02Q2,CPI02Q3,CPI02Q4,CPI03Q1,CPI03Q2,CPI03Q3,CPI03Q4,CPI04Q1,CPI04Q2,CPI04Q3,CPI04Q4,CPI05Q1,CPI05Q2,CPI05Q3,CPI05Q4,CPI06Q1,CPI06Q2,CPI06Q3,CPI06Q4,CPI07Q1,CPI07Q2,CPI07Q3,CPI07Q4,CPI08Q1,CPI08Q2,CPI08Q3,CPI08Q4,CPI09Q1,CPI09Q2,CPI09Q3,CPI09Q4,CPI10Q1,CPI10Q2,CPI10Q3,CPI10Q4,CPI11Q1,CPI11Q2,CPI11Q3,CPI11Q4,CPI12Q1,CPI12Q2,CPI12Q3,CPI12Q4,CPI13Q1,CPI13Q2,CPI13Q3,CPI13Q4,CPI14Q1,CPI14Q2,CPI14Q3,CPI14Q4,CPI15Q1,CPI15Q2,CPI15Q3,CPI15Q4,CPI16Q1,CPI16Q2,CPI16Q3,CPI16Q4,CPI17Q1,CPI17Q2,CPI17Q3,CPI17Q4,CPI18Q1,CPI18Q2,CPI18Q3,CPI18Q4,CPI19Q1,CPI19Q2,CPI19Q3,CPI19Q4,CPI20Q1,CPI20Q2,CPI20Q3,CPI20Q4,CPI21Q1,CPI21Q2,CPI21Q3,CPI21Q4,CPI22Q1,CPI22Q2,CPI22Q3,CPI22Q4,CPI23Q1,CPI23Q2,CPI23Q3,CPI23Q4,CPI24Q1,rec,t,t0,t1,t2,t3,t4
1965-03-31,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,31.290000000000003,0,,,,,,
1965-06-30,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,31.49,0,31.290000000000003,0.00639181847235526,0.00937466709278767,0.014701182486417386,0.0241823798870775,0.03345051667199317
1965-09-30,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.600000000000005,31.600000000000005,31.600000000000005,31.600000000000005,31.600000000000005,31.600000000000005,31.600000000000005,31.600000000000005,31.600000000000005,31.600000000000005,31.600000000000005,31.600000000000005,31.600000000000005,31.600000000000005,31.600000000000005,31.600000000000005,31.600000000000005,31.600000000000005,31.600000000000005,31.600000000000005,31.600000000000005,31.600000000000005,31.600000000000005,31.600000000000005,31.600000000000005,31.600000000000005,31.600000000000005,31.600000000000005,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,31.583333333333332,0,31.49,0.0029639038848312538,0.008256589393458302,0.01767756959881428,0.02688684238382555,0.03577855403831909
1965-12-31,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75,0,31.583333333333332,0.005277044854881341,0.014670184696569777,0.02385224274406328,0.032717678100263825,0.04116094986807384
1966-03-31,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.06666666666667,32.06666666666667,32.06666666666667,32.06666666666667,32.06666666666667,32.06666666666667,32.06666666666667,32.06666666666667,32.06666666666667,32.06666666666667,32.06666666666667,32.06666666666667,32.06666666666667,32.06666666666667,32.06666666666667,32.06666666666667,32.06666666666667,32.06666666666667,32.06666666666667,32.06666666666667,32.06666666666667,32.06666666666667,32.06666666666667,32.06666666666667,32.06666666666667,32.06666666666667,32.06666666666667,32.06666666666667,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,32.04666666666666,0,31.75,0.00934383202099709,0.01847769028871382,0.02729658792650924,0.03569553805774284,0.038320209973753405
1966-06-30,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.36666666666667,32.36666666666667,32.36666666666667,32.36666666666667,32.36666666666667,32.36666666666667,32.36666666666667,32.36666666666667,32.36666666666667,32.36666666666667,32.36666666666667,32.36666666666667,32.36666666666667,32.36666666666667,32.36666666666667,32.36666666666667,32.36666666666667,32.36666666666667,32.36666666666667,32.36666666666667,32.36666666666667,32.36666666666667,32.36666666666667,32.36666666666667,32.36666666666667,32.36666666666667,32.36666666666667,32.36666666666667,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,32.336666666666666,0,32.04666666666666,0.009049303099646577,0.017786561264822476,0.026107759517370654,0.028708133971292238,0.03494903266070337
1966-09-30,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.666666666666664,32.666666666666664,32.666666666666664,32.666666666666664,32.666666666666664,32.666666666666664,32.666666666666664,32.666666666666664,32.666666666666664,32.666666666666664,32.666666666666664,32.666666666666664,32.666666666666664,32.666666666666664,32.666666666666664,32.666666666666664,32.666666666666664,32.666666666666664,32.666666666666664,32.666666666666664,32.666666666666664,32.666666666666664,32.666666666666664,32.666666666666664,32.666666666666664,32.666666666666664,32.666666666666664,32.666666666666664,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,32.61666666666667,0,32.336666666666666,0.008658901144211972,0.01690547366250894,0.019482527574476993,0.02566745696319961,0.03597567261107115
1966-12-31,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,32.88333333333333,0,32.61666666666667,0.00817577925396007,0.01073071027082273,0.01686254471129267,0.02708226877874287,0.03832396525293813
1967-03-31,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,0,32.88333333333333,0.0025342118601114905,0.008616320324378979,0.018753167764825163,0.029903699949315854,0.040040547389761594
1967-06-30,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,33.166666666666664,0,32.96666666666667,0.006066734074822833,0.01617795753286133,0.027300303336703635,0.03741152679474191,0.04752275025278041
