DATE,WTISPLC
1946-01-01,1.17000000000000000000
1946-04-01,1.27000000000000000000
1946-07-01,1.4366666666666667
1946-10-01,1.5533333333333333
1947-01-01,1.6200000000000000
1947-04-01,1.8700000000000000
1947-07-01,1.8700000000000000
1947-10-01,2.0033333333333333
1948-01-01,2.5700000000000000
1948-04-01,2.5700000000000000
1948-07-01,2.5700000000000000
1948-10-01,2.5700000000000000
1949-01-01,2.5700000000000000
1949-04-01,2.5700000000000000
1949-07-01,2.5700000000000000
1949-10-01,2.5700000000000000
1950-01-01,2.5700000000000000
1950-04-01,2.5700000000000000
1950-07-01,2.5700000000000000
1950-10-01,2.5700000000000000
1951-01-01,2.5700000000000000
1951-04-01,2.5700000000000000
1951-07-01,2.5700000000000000
1951-10-01,2.5700000000000000
1952-01-01,2.5700000000000000
1952-04-01,2.5700000000000000
1952-07-01,2.5700000000000000
1952-10-01,2.5700000000000000
1953-01-01,2.5700000000000000
1953-04-01,2.6533333333333333
1953-07-01,2.8200000000000000
1953-10-01,2.8200000000000000
1954-01-01,2.8200000000000000
1954-04-01,2.8200000000000000
1954-07-01,2.8200000000000000
1954-10-01,2.8200000000000000
1955-01-01,2.8200000000000000
1955-04-01,2.8200000000000000
1955-07-01,2.8200000000000000
1955-10-01,2.8200000000000000
1956-01-01,2.8200000000000000
1956-04-01,2.8200000000000000
1956-07-01,2.8200000000000000
1956-10-01,2.8200000000000000
1957-01-01,2.9866666666666667
1957-04-01,3.0700000000000000
1957-07-01,3.0700000000000000
1957-10-01,3.0466666666666667
1958-01-01,3.0700000000000000
1958-04-01,3.0700000000000000
1958-07-01,3.0700000000000000
1958-10-01,3.0233333333333333
1959-01-01,2.9900000000000000
1959-04-01,2.9700000000000000
1959-07-01,2.9700000000000000
1959-10-01,2.9700000000000000
1960-01-01,2.9700000000000000
1960-04-01,2.9700000000000000
1960-07-01,2.9700000000000000
1960-10-01,2.9700000000000000
1961-01-01,2.9700000000000000
1961-04-01,2.9700000000000000
1961-07-01,2.9700000000000000
1961-10-01,2.9700000000000000
1962-01-01,2.9700000000000000
1962-04-01,2.9700000000000000
1962-07-01,2.9700000000000000
1962-10-01,2.9700000000000000
1963-01-01,2.9700000000000000
1963-04-01,2.9700000000000000
1963-07-01,2.9700000000000000
1963-10-01,2.9700000000000000
1964-01-01,2.9700000000000000
1964-04-01,2.9700000000000000
1964-07-01,2.9200000000000000
1964-10-01,2.9200000000000000
1965-01-01,2.9200000000000000
1965-04-01,2.9200000000000000
1965-07-01,2.9200000000000000
1965-10-01,2.9200000000000000
1966-01-01,2.9200000000000000
1966-04-01,2.9200000000000000
1966-07-01,2.9366666666666667
1966-10-01,2.9700000000000000
1967-01-01,2.9900000000000000
1967-04-01,3.0000000000000000
1967-07-01,3.0466666666666667
1967-10-01,3.0700000000000000
1968-01-01,3.0700000000000000
1968-04-01,3.0700000000000000
1968-07-01,3.0700000000000000
1968-10-01,3.0700000000000000
1969-01-01,3.1300000000000000
1969-04-01,3.3500000000000000
1969-07-01,3.3500000000000000
1969-10-01,3.3500000000000000
1970-01-01,3.3500000000000000
1970-04-01,3.3500000000000000
1970-07-01,3.3100000000000000
1970-10-01,3.3933333333333333
1971-01-01,3.5600000000000000
1971-04-01,3.5600000000000000
1971-07-01,3.5600000000000000
1971-10-01,3.5600000000000000
1972-01-01,3.5600000000000000
1972-04-01,3.5600000000000000
1972-07-01,3.5600000000000000
1972-10-01,3.5600000000000000
1973-01-01,3.5600000000000000
1973-04-01,3.5600000000000000
1973-07-01,4.0600000000000000
1973-10-01,4.3100000000000000
1974-01-01,10.1100000000000000
1974-04-01,10.1100000000000000
